CLASS,OPEN,CLOSE,MA20,MA20-CLOSE,MA60,MA60-CLOSE,MA200,MA200-CLOSE,20-60 CROSS,20-200CROSS,60-200CROSS,EMA20
0,1315.12,1312.67,1319.1848,1,1336.912033,1,1377.304005,1,0,0,0,1314.886667
0,1312.665,1317.745,1321.18,1,1335.1459,1,1375.87389,1,0,0,0,1313.153333
0,1317.73,1309.438,1323.4615,1,1333.479017,1,1374.392495,1,0,0,0,1316.953857
0,1309.409,1287.454,1325.1707,1,1331.902217,1,1372.767755,1,0,0,0,1307.344286
0,1287.615,1287.146,1325.49205,1,1330.117417,1,1371.173105,1,0,0,0,1287.424667
0,1287.116,1282.423,1324.05495,1,1328.563483,1,1369.507435,1,0,0,0,1286.69619
0,1282.411,1267.506,1322.4281,1,1326.708767,1,1367.81104,1,0,0,0,1281.002333
0,1267.472,1284.917,1319.9288,1,1324.3109,1,1366.20395,1,0,0,0,1269.16419
0,1284.923,1287.004,1318.4033,1,1322.50035,1,1364.609215,1,0,0,0,1285.115762
0,1286.993,1289.174,1315.78825,1,1321.131933,1,1363.05511,1,0,0,0,1287.210667
0,1289.251,1288.101,1313.63415,1,1319.44065,1,1361.470335,1,0,0,0,1289.07181
0,1288.084,1274.141,1310.7057,1,1317.764467,1,1359.859805,1,0,0,0,1286.771476
1,1274.156,1275.246,1306.93775,1,1315.887867,1,1358.25394,1,0,0,0,1274.246238
1,1275.229,1247.011,1303.25145,1,1314.373883,1,1356.481535,1,0,0,0,1272.556952
1,1247.001,1244.139,1297.94755,1,1312.408433,1,1354.82068,1,0,0,0,1246.737476
1,1244.16,1242.835,1292.98465,1,1311.02525,1,1353.260545,1,0,0,0,1244.01481
0,1241.788,1240.595,1288.20665,1,1309.65495,1,1351.70127,1,0,0,0,1242.621667
1,1240.583,1252.87,1284.07805,1,1308.16845,1,1350.06246,1,0,0,0,1241.764048
1,1252.902,1243.437,1280.97495,1,1307.172167,1,1348.39346,1,0,0,0,1251.971619
1,1243.443,1238.294,1277.4486,1,1306.119983,1,1346.725005,1,0,0,0,1242.94719
0,1238.277,1244.122,1273.6073,1,1303.962933,1,1345.01873,1,0,0,0,1238.849048
0,1244.128,1251.066,1270.1799,1,1301.940383,1,1343.496805,1,0,0,0,1244.783333
0,1250.022,1247.973,1266.84595,1,1300.704883,1,1341.927795,1,0,0,0,1250.771429
0,1247.995,1222.972,1263.7727,1,1299.347417,1,1340.633455,1,0,0,0,1245.591952
0,1222.929,1224.559,1260.5486,1,1297.61515,1,1339.30686,1,0,0,0,1223.123143
0,1224.565,1237.924,1257.41925,1,1295.94135,1,1338.7389,1,0,0,0,1225.831857
0,1237.928,1226.099,1255.1943,1,1294.371317,1,1338.014785,1,0,0,0,1236.79781
0,1226.095,1228.161,1253.12395,1,1292.73985,1,1337.28951,1,0,0,0,1226.295381
0,1229.677,1228.172,1250.28615,1,1290.94335,1,1336.45929,1,0,0,0,1228.162048
0,1228.178,1238.744,1247.34455,1,1289.07715,1,1335.635385,1,0,0,0,1229.178857
0,1238.693,1261.045,1244.82305,0,1287.580667,1,1334.898135,1,0,0,0,1240.867905
0,1261.032,1253.974,1243.47025,0,1287.117417,1,1334.047705,1,0,0,0,1260.371571
0,1253.979,1227.784,1242.4619,1,1286.102217,1,1333.116325,1,0,0,0,1251.479714
0,1227.731,1238.234,1240.0888,1,1284.623467,1,1332.157745,1,0,0,0,1228.779238
0,1237.779,1235.911,1239.64995,1,1283.425517,1,1330.9717,1,0,0,0,1238.012762
0,1235.919,1240.229,1239.23855,0,1282.131917,1,1329.865955,1,0,0,0,1236.322238
0,1240.232,1233.777,1239.10825,1,1280.75055,1,1328.709775,1,0,0,0,1239.614524
1,1233.792,1219.15,1238.76735,1,1279.30865,1,1327.438675,1,0,0,0,1232.383952
1,1219.122,1191.601,1237.08135,1,1277.915967,1,1326.01588,1,0,0,0,1216.526286
1,1191.603,1202.081,1234.48955,1,1276.3112,1,1324.732235,1,0,0,0,1192.599095
1,1203.383,1203.868,1232.6789,1,1275.157,1,1323.412775,1,0,0,0,1202.25119
1,1203.878,1198.405,1230.6662,1,1274.0087,1,1322.053045,1,0,0,0,1203.347714
1,1198.403,1203.817,1228.03315,1,1272.7802,1,1320.719205,1,0,0,0,1198.920429
0,1203.701,1202.293,1225.82535,1,1271.589583,1,1319.40614,1,0,0,0,1203.671857
0,1202.308,1209.09,1224.7914,1,1270.27735,1,1318.2008,1,0,0,0,1202.940333
0,1209.092,1212.129,1224.01795,1,1268.497383,1,1316.902105,1,0,0,0,1209.379429
1,1211.971,1213.328,1222.7282,1,1266.783533,1,1315.691255,1,0,0,0,1212.24319
1,1213.309,1198.466,1222.08965,1,1265.047467,1,1314.45201,1,0,0,0,1211.912571
1,1198.475,1204.926,1220.6049,1,1263.098117,1,1313.289185,1,0,0,0,1199.081238
1,1204.411,1205.93,1219.4426,1,1260.858467,1,1312.142285,1,0,0,0,1205.021619
1,1205.92,1223.712,1217.8019,0,1258.753033,1,1311.11069,1,0,0,0,1207.623524
1,1223.712,1235.926,1215.93525,0,1256.703733,1,1310.310545,1,0,0,0,1224.875238
1,1236.634,1234.093,1215.03285,0,1254.810833,1,1309.54531,1,0,0,0,1235.751429
1,1234.086,1237.663,1215.3483,0,1252.896183,1,1308.93754,1,0,0,0,1234.433
1,1237.658,1229.313,1215.31975,0,1250.972417,1,1308.342405,1,0,0,0,1236.867762
1,1229.331,1226.221,1214.98985,0,1249.071017,1,1307.52927,1,0,0,0,1229.018524
0,1226.244,1228.86,1214.28945,0,1247.20145,1,1306.78765,1,0,0,0,1226.472333
0,1228.86,1247.521,1214.0436,0,1245.629667,0,1306.209655,1,0,0,0,1230.637238
0,1247.204,1248.62,1215.46215,0,1244.50615,0,1305.512765,1,0,0,0,1247.625667
1,1248.632,1254.092,1218.3131,0,1243.417083,0,1304.852025,1,0,0,0,1249.141143
1,1254.121,1243.342,1220.91365,0,1242.39995,0,1304.138035,1,0,0,0,1253.06819
1,1243.372,1240.981,1222.88735,0,1241.244483,1,1303.36203,1,0,0,0,1243.117143
0,1241.023,1242.115,1225.01615,0,1239.965083,0,1302.66888,1,0,0,0,1241.089
0,1242.113,1252.953,1226.93105,0,1238.843033,0,1301.970855,1,0,0,0,1243.14719
0,1252.046,1256.247,1229.46405,0,1238.268017,0,1301.17664,1,0,0,0,1253.266714
1,1256.227,1255.34,1231.8219,0,1237.753033,0,1300.52239,1,0,0,0,1256.160619
1,1255.333,1242.911,1233.98245,0,1237.30165,0,1299.764795,1,0,0,0,1254.156286
0,1242.928,1237.031,1235.4616,0,1236.891733,0,1298.886425,1,0,0,0,1242.351
0,1237.031,1262.672,1237.38985,0,1236.093633,0,1298.20696,1,1,0,0,1239.473
0,1262.597,1269.032,1240.27715,0,1235.6881,0,1297.54632,1,1,0,0,1263.277714
0,1268.945,1275.325,1243.43225,0,1235.3524,0,1296.864145,1,1,0,0,1269.631333
0,1275.337,1258.117,1246.0129,0,1235.139467,0,1296.24282,1,1,0,0,1273.686143
0,1258.124,1252.612,1247.12245,0,1234.8724,0,1295.58432,1,1,0,0,1257.592714
0,1252.607,1266.577,1248.0484,0,1234.495167,0,1294.99705,1,1,0,0,1253.942
0,1266.597,1244.777,1249.4941,1,1234.821267,0,1294.333175,1,1,0,0,1264.50081
1,1244.748,1243.678,1250.2673,1,1234.8319,0,1293.620625,1,1,0,0,1244.672333
1,1242.631,1243.665,1251.14015,1,1234.84595,0,1292.911185,1,1,0,0,1243.676762
